"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 13 17:00:53 CST 2024","Wed Mar 13 17:00:57 CST 2024","3682","TestCase","test_add_dept","TestDept","","","test_add_dept_noDeptType",""
"passed","Wed Mar 13 17:00:30 CST 2024","Wed Mar 13 17:00:34 CST 2024","3177","TestCase","test_index","TestIndex","","","test_switch_typeManage","切换到类型管理机构类型管理页面"
"passed","Wed Mar 13 17:00:34 CST 2024","Wed Mar 13 17:00:38 CST 2024","4159","TestCase","test_index","TestIndex","","","test_switch_staticeManage","切换到运营管理机构管理页面"
"passed","Wed Mar 13 17:00:51 CST 2024","Wed Mar 13 17:00:53 CST 2024","2668","TestCase","test_add_dept","TestDept","","","test_add_dept_noPlatName",""
"passed","Wed Mar 13 17:01:03 CST 2024","Wed Mar 13 17:01:06 CST 2024","2518","TestCase","test_add_dept","TestDept","","","test_delete_dept",""
"passed","Wed Mar 13 17:00:42 CST 2024","Wed Mar 13 17:00:45 CST 2024","3161","TestCase","test_index","TestIndex","","","test_switch_statics","切换到统计机构检查数据页面"
"passed","Wed Mar 13 17:00:57 CST 2024","Wed Mar 13 17:01:03 CST 2024","6166","TestCase","test_add_dept","TestDept","","","test_add_dept",""
"passed","Wed Mar 13 17:00:38 CST 2024","Wed Mar 13 17:00:42 CST 2024","4228","TestCase","test_index","TestIndex","","","test_switch_systemManage","切换到系统管理平台管理页面"
"passed","Wed Mar 13 17:00:47 CST 2024","Wed Mar 13 17:00:51 CST 2024","3358","TestCase","test_add_dept","TestDept","","","test_add_dept_noTenantName",""
